species,rep,bar,Mpa,PLC %,Ks kg s-1 m-1 MPa-1,outliers ks,LSC,outliers lsc
Epo,3,4.6,0.46,0,NA,,,
Epo,4,6.7,0.67,0,NA,,,
Epo,5,43.4,4.34,39.89946101,2.141326064,,1.83E-04,
Epo,6,68,6.8,76.33410562,1.313843067,,1.86E-04,
Epo,7,30,3,0,0.359591748,,,
Epo,8,66.7,6.67,82.34041084,1.486573628,,2.07E-04,
Epo,10,35.7,3.57,20.14040641,0.923488472,,1.70E-04,
Epo,11,54.5,5.45,26.92484563,1.907302241,,,0.000318
Epo,12,55.3,5.53,37.42419248,0.567654535,,2.19E-04,
Epo,13,62,6.2,58.59747188,1.245256445,,,
Epo,15,51.3,5.13,18.85230972,1.599947175,,,
Epo,16,81,8.1,97.52515502,1.42549401,,1.81E-04,
Epo,14,44.1,4.41,52.0731416,0.517902105,,,0.0000894
Esi,1,41,4.1,59.52859353,0.996211171,,,
Esi,3,46.3,4.63,30.93445592,NA,3.269912377,,
Esi,5,48.8,4.88,92.63468186,1.302950956,,2.57E-04,
Esi,9,15.8,1.58,4.080844327,1.399397975,,2.52E-04,
Esi,10,9.6,0.96,9.142334816,1.509949668,,2.99E-04,
Esi,11,48.9,4.89,97.8989318,1.045985559,,1.85E-04,
Esi,12,34,3.4,3.143339568,1.930822503,,2.72E-04,
Esi,13,23.3,NA,NA,1.172572071,,2.04E-04,
Esi,14,10.4,1.04,0.766877435,2.03289856,,2.18E-04,
Esi,15,50.79,5.079,97.20918977,1.282033031,,1.96E-04,
Esi,17,45.9,4.59,98.34389739,1.933663941,,5.51E-04,
Esi,18,48.1,4.81,51.77234123,2.216145619,,3.01E-04,
Esi,19,30.3,3.03,46.42774171,1.345188242,,4.09E-04,
Esi,21,51.9,5.19,57.75584026,2.221468179,,5.05E-04,
Esi,22,28.7,2.87,2.125931356,2.299803637,,5.17E-04,
Esi,23,66.53,6.653,95.40648314,1.981786382,,3.30E-04,
Esi,7,30.9,3.09,10.66863512,1.543036224,,3.18E-04,
Esi,4,46.7,4.67,72.52313624,1.289124966,,,
Evi,1,8.1,0.81,10.71693324,3.08224283,,,
Evi,2,39,3.9,93.34106586,NA,0.081326915,,
Evi,3,26.7,2.67,57.82295702,2.498939554,,,0.000693
Evi,4,21.3,2.13,10.25933171,2.253412232,,2.89E-04,
Evi,7,29.6,2.96,46.24632872,2.024129693,,1.47E-04,
Evi,8,10.6,1.06,29.10982598,0.973742029,,4.82E-05,
Evi,9,6.1,0.61,7.09742836,1.728373137,,9.43E-05,
Evi,10,36.1,3.61,54.48081889,1.129514324,,2.57E-04,
Evi,11,25.7,2.57,27.26992986,2.475738417,,3.60E-04,
Evi,13,2.9,0.29,5.349933741,2.326308842,,,0.00176
Evi,16,35.8,3.58,55.91579519,1.831849916,,5.71E-04,
Evi,17,6.6,0.66,19.06638024,2.30262486,,,
Evi,18,21.6,2.16,3.359401477,2.197383287,,2.55E-04,
Evi,19,27.3,2.73,69.96635609,2.596161055,,4.21E-04,
Evi,21,28.7,2.87,20.3307309,1.873034349,,2.02E-04,
Evi,22,21.5,2.15,3.845194425,2.411463938,,1.89E-04,
Evi,23,30.2,3.02,31.70726031,2.53063846,,3.68E-04,
Evi,24,6.2,0.62,0.417384455,2.725720012,,1.71E-04,
