species,rep,Apre,gspre,Epre,PARpre,Asat,gssat,gsmax,gsrelk,Esat,PARsat,Tleaf,VPDpre,VPDsat,MPa,treatment,date,ld,maxvalue,LA
Ebl,17,7.43,0.21,2.15,160.66,13.89,0.27,0.65,0.42,3,1498.8,27.05,1.05,1.19,1.74,w,21/12/2016,,Y,6
Egr,13,15.22,0.11,3.04,401.4,20.33,0.12,0.26,0.46,3.42,1500.6,26.2,2.81,2.83,1.37,w,6/12/2016,,Y,6
Egr,15,17.1,0.12,3.02,450.43,22.45,0.14,0.26,0.54,3.55,1499.49,25.58,2.64,2.55,1.91,d,6/12/2016,,N,6
Egr,1,14.44,0.12,3.16,450.48,18.6,0.15,0.26,0.58,3.86,1498.89,26.07,2.67,2.63,1.07,d,6/12/2016,,N,6
Egr,5,14.37,0.26,1.28,499.9,17.84,0.26,0.26,1,1.54,1499.06,26.28,0.53,0.63,1.19,w,7/12/2016,,Y,6
Egr,21,12.16,0.26,1.46,300.71,19.06,0.25,0.26,0.96,1.81,1498.53,26.89,0.6,0.78,1.44,w,7/12/2016,,Y,6
Egr,8,14.6,0.15,0.8,350.44,22.8,0.17,0.26,0.65,1.07,1499.6,26.86,0.55,0.65,1.49,d,7/12/2016,,N,6
Egr,9,14.99,0.14,0.85,400.32,23.69,0.16,0.26,0.62,1.17,1498.91,27.32,0.62,0.76,1.5,d,7/12/2016,,N,6
Egr,3,10.62,0.09,0.71,250.58,13.69,0.08,0.26,0.31,0.82,1499.25,26.59,0.79,0.99,1.8,w,9/12/2016,ld,N,6
Egr,5,12.41,0.1,0.79,370.92,16.89,0.16,0.26,0.62,1.4,1499.37,26.56,0.77,0.9,1.54,w,9/12/2016,,Y,6
Egr,13,NA,NA,NA,NA,10.79,0.06,0.26,0.23,0.61,1498.78,26.75,0.89,1.06,1.58,w,9/12/2016,ld,N,6
Egr,21,5.47,0.03,0.26,149.58,6.44,0.03,0.26,0.12,0.4,1499.21,26.88,0.93,1.16,1.44,w,9/12/2016,ld,N,6
Egr,16,0.65,0.01,0.07,170.98,1.02,0,0.26,0,0.01,1499.45,26.48,0.89,1.2,3.1,d,9/12/2016,,N,6
Egr,20,4.26,0.01,0.09,349.83,3.98,0.02,0.26,0.08,0.22,1498.84,27.35,1.04,1.38,2.43,d,9/12/2016,,N,6
Egr,22,-0.28,0.02,0.17,550.15,0.15,0.01,0.26,0.04,0.09,1500.91,27.11,0.94,1.11,4.47,d,9/12/2016,,N,6
Egr,10,0,0.02,0.21,179.89,0.32,0,0.26,0,0.01,1500.65,27.45,0.98,1.36,4.16,d,9/12/2016,,N,6
Egr,6,-0.44,0.02,0.29,370.93,-0.18,0.01,0.26,0.04,0.17,1499.05,30.18,1.4,1.71,2.3,d,13/12/2016,,N,6
Egr,7,0.15,0.02,0.22,300.17,0.58,0.01,0.26,0.04,0.15,1499.3,30.24,1.39,1.74,2.84,d,13/12/2016,,N,6
Egr,11,-0.38,0.03,0.37,149.45,-0.35,0.02,0.26,0.08,0.37,1499.52,30.98,1.39,1.86,2.99,d,13/12/2016,,N,6
Egr,17,2.65,0.01,0.18,299.44,3.17,0.01,0.26,0.04,0.28,1499.38,31.52,1.59,2,1.73,d,NA,,N,6
Egr,3,3.13,0.24,4.65,50.85,13.56,0.26,0.26,1,5.4,1498.88,23.36,2.08,2.23,1.33,w,15/12/2016,,Y,6
Egr,5,4.62,0.23,4.17,79.63,12.42,0.25,0.26,0.96,4.82,1499.15,23.17,1.99,2.1,1.79,w,15/12/2016,,Y,6
Egr,21,2.52,0.02,0.45,50.67,4.85,0.02,0.26,0.08,0.61,1499.34,24.3,2.33,2.57,1.58,w,15/12/2016,ld,N,6
Egr,13,3.36,0.22,3.48,50.92,11.24,0.23,0.26,0.88,3.98,1499.72,23.19,1.67,1.85,1.7,w,15/12/2016,ld,N,6
Egr,19,1.6,0.02,0.36,49.24,2.2,0.02,0.26,0.08,0.38,1499.57,24.12,2.04,2.28,2.13,d,15/12/2016,,N,6
Egr,18,2.52,0.03,0.55,50.58,2.31,0.02,0.26,0.08,0.33,1499.37,24.18,2.04,2.17,1.71,d,15/12/2016,,N,6
Egr,2,2.85,0.03,0.46,50.11,2.7,0.01,0.26,0.04,0.31,1499.05,24.55,1.8,2.07,2.01,d,15/12/2016,,N,6
Egr,3,1.28,0,0,69.79,1.96,0.01,0.26,0.04,0.13,1500.53,24.56,1.12,1.39,2.15,w,19/12/2016,ld,N,6
Egr,5,2.51,0.01,0.13,170.11,2.11,0.02,0.26,0.08,0.25,1498.81,24.57,1.09,1.41,2.18,w,19/12/2016,ld,N,6
Egr,13,2.39,0.01,0.07,160.05,2.52,0.02,0.26,0.08,0.23,1499.72,25.16,1.14,1.43,1.93,w,19/12/2016,ld,N,6
Egr,21,-0.39,0.01,0.11,159.24,-0.18,0,0.26,0,0.02,1499.67,25.68,1.11,1.43,1.71,w,19/12/2016,ld,N,6
Ema,15,6.07,0.28,2.78,160.82,16.34,0.31,0.59,0.53,3.42,1499.59,27.13,1.05,1.19,1.41,d,10/01/2017,,N,6
Ema,18,4.05,0.36,3.76,151.05,14.65,0.39,0.59,0.66,4.55,1499.04,27.65,1.15,1.28,0.86,w,10/01/2017,,Y,6
Ema,2,8.81,0.24,2.54,160.44,15.32,0.28,0.59,0.47,3.36,1500.01,27.49,1.13,1.28,0.75,w,11/01/2017,,Y,6
Ema,6,4.56,0.48,3.93,100.15,18,0.59,0.59,1,5.22,1498.8,27.77,0.92,1.04,1.25,w,11/01/2017,,Y,6
Ema,1,13.64,0.23,3.22,401.28,17.29,0.22,0.59,0.37,3.57,1498.97,31.38,1.47,1.7,1.65,d,11/01/2017,,N,6
